datetime,open,high,low,close
2007-01-07,24.31,60.99,0.01,23.0
2007-01-14,13.0,54.14,0.01,24.0
2007-01-21,23.07,129.44,0.01,18.89
2007-01-28,16.69,117.9,9.18,39.0
2007-02-04,33.4,100.0,10.6,30.45
2007-02-11,23.91,102.2,5.51,25.0
2007-02-18,20.0,48.17,7.84,26.8
2007-02-25,19.97,48.26,5.95,22.16
2007-03-04,19.95,36.95,7.97,17.86
2007-03-11,15.87,44.01,7.97,21.92
2007-03-18,24.96,40.0,1.29,27.9
2007-03-25,22.66,54.6,9.18,25.0
2007-04-01,22.41,48.9,16.0,27.91
2007-04-08,27.9,53.11,18.87,28.92
2007-04-15,25.02,48.92,1.09,23.69
2007-04-22,21.64,49.91,6.0,23.91
2007-04-29,25.0,54.21,0.01,21.72
2007-05-06,14.05,50.25,5.06,25.77
2007-05-13,20.63,60.0,6.1,24.56
2007-05-20,20.62,200.0,8.18,25.0
2007-05-27,15.05,200.0,7.46,22.7
2007-06-03,14.93,71.08,6.01,16.98
2007-06-10,10.08,95.0,0.07,17.01
2007-06-17,8.91,64.6,1.07,16.09
2007-06-24,17.94,72.29,7.1,24.84
2007-07-01,16.99,58.83,7.15,25.99
2007-07-08,18.78,79.99,0.5,33.0
2007-07-15,25.24,83.19,7.12,24.6
2007-07-22,22.97,82.45,7.01,22.98
2007-07-29,16.35,50.22,4.95,20.3
2007-08-05,16.6,71.0,6.51,26.9
2007-08-12,21.03,52.53,4.08,24.96
2007-08-19,19.72,60.56,6.94,20.68
2007-08-26,8.08,71.85,6.02,26.05
2007-09-02,23.99,61.73,8.98,19.05
2007-09-09,15.4,58.2,8.09,27.0
2007-09-16,25.24,66.0,9.91,31.93
2007-09-23,20.0,63.6,11.08,29.5
2007-09-30,26.81,74.96,7.27,30.08
2007-10-07,28.43,95.01,14.08,38.9
2007-10-14,25.49,92.01,10.91,37.93
2007-10-21,24.73,99.99,10.7,43.0
2007-10-28,29.5,198.69,14.83,46.0
2007-11-04,37.0,200.0,10.74,37.8
2007-11-11,26.13,200.0,2.6,53.32
2007-11-18,25.47,200.0,11.95,70.52
2007-11-25,45.16,200.0,13.54,57.69
2007-12-02,43.51,187.54,18.08,53.0
2007-12-09,15.4,107.98,7.29,38.83
2007-12-16,25.0,200.0,7.88,78.05
2007-12-23,48.26,200.0,21.98,67.98
2007-12-30,64.96,86.96,4.3,48.1
2008-01-06,37.99,200.0,10.3,53.94
2008-01-13,26.34,109.93,15.01,56.08
2008-01-20,45.0,116.71,3.9,37.27
2008-01-27,30.0,93.21,11.91,59.95
2008-02-03,65.99,120.74,32.0,53.92
2008-02-10,38.0,88.1,15.18,52.0
2008-02-17,55.48,89.94,40.05,64.97
2008-02-24,64.05,100.7,13.98,50.61
2008-03-02,42.8,200.0,8.17,54.99
2008-03-09,49.88,199.99,22.01,61.47
2008-03-16,69.98,125.0,8.18,54.06
2008-03-23,34.64,109.91,15.81,75.13
2008-03-30,63.17,111.0,25.49,50.0
2008-04-06,70.01,140.0,21.96,65.96
2008-04-13,66.03,199.16,37.19,61.82
2008-04-20,49.05,158.93,30.05,49.35
2008-04-27,46.92,200.0,12.08,40.0
2008-05-04,29.13,200.0,9.97,56.5
2008-05-11,50.68,200.0,6.02,58.43
2008-05-18,24.02,150.0,7.06,60.91
2008-05-25,47.29,119.56,7.09,35.0
2008-06-01,40.7,138.99,6.0,57.0
2008-06-08,35.0,193.45,7.9,61.69
2008-06-15,59.93,200.0,5.98,67.31
2008-06-22,55.4,143.92,8.29,65.0
2008-06-29,44.97,180.1,7.98,71.0
2008-07-06,55.5,184.0,9.98,62.25
2008-07-13,40.0,122.55,9.94,76.09
2008-07-20,55.57,124.65,3.49,49.3
2008-07-27,35.01,105.14,7.58,70.02
2008-08-03,54.0,109.7,7.98,52.0
2008-08-10,18.65,92.06,8.93,39.99
2008-08-17,8.97,85.26,7.91,49.95
2008-08-24,39.61,96.47,7.99,77.0
2008-08-31,59.0,118.6,27.95,74.08
2008-09-07,63.0,156.56,14.0,62.78
2008-09-14,61.54,164.51,47.5,71.21
2008-09-21,64.29,167.2,30.46,70.0
2008-09-28,66.0,151.63,33.33,75.46
2008-10-05,70.96,152.0,44.0,81.0
2008-10-12,57.0,175.0,28.13,59.0
2008-10-19,54.0,134.75,26.55,52.0
2008-10-26,45.94,145.71,0.01,65.0
2008-11-02,49.41,195.33,17.37,48.26
2008-11-09,44.81,150.14,9.04,39.09
2008-11-16,36.17,127.44,7.52,47.0
2008-11-23,40.09,114.56,17.87,52.16
2008-11-30,48.0,200.0,25.57,69.1
2008-12-07,54.97,200.0,28.9,52.0
2008-12-14,47.96,168.76,20.65,45.0
2008-12-21,36.69,153.46,8.94,44.88
2008-12-28,9.03,74.58,1.37,51.0
2009-01-04,45.15,73.84,12.0,41.0
2009-01-11,45.34,145.29,21.0,40.17
2009-01-18,36.0,124.26,22.67,48.0
2009-01-25,43.15,95.53,18.55,47.68
2009-02-01,39.35,120.0,22.29,51.96
2009-02-08,56.81,108.01,22.68,49.0
2009-02-15,39.06,92.22,17.4,39.93
2009-02-22,38.0,85.35,13.25,35.69
2009-03-01,17.0,59.79,13.0,36.06
2009-03-08,37.99,59.91,5.81,27.0
2009-03-15,23.69,70.59,4.0,33.0
2009-03-22,29.0,52.8,11.67,33.41
2009-03-29,28.61,57.17,11.01,35.0
2009-04-05,34.0,60.0,10.46,37.29
2009-04-12,29.17,53.49,8.6,29.04
2009-04-19,30.0,62.85,7.12,27.77
2009-04-26,26.5,55.16,7.7,36.29
2009-05-03,31.44,64.0,10.96,35.5
2009-05-10,17.3,55.9,0.02,28.0
2009-05-17,12.54,50.71,0.01,33.28
2009-05-24,15.97,58.69,1.99,34.0
2009-05-31,20.12,56.04,1.0,22.99
2009-06-07,11.37,54.09,0.12,34.2
2009-06-14,27.69,59.79,3.77,33.41
2009-06-21,23.07,60.0,2.27,34.0
2009-06-28,18.06,54.51,0.01,35.24
2009-07-05,30.77,93.02,7.22,28.87
2009-07-12,33.09,67.75,10.26,32.73
2009-07-19,34.0,63.3,0.08,32.69
2009-07-26,21.01,54.0,9.0,39.49
2009-08-02,29.06,47.75,6.73,30.68
2009-08-09,27.0,54.58,7.49,30.45
2009-08-16,25.82,49.93,3.14,33.0
2009-08-23,21.0,71.68,0.01,36.0
2009-08-30,32.5,98.16,0.01,32.5
2009-09-06,11.98,63.61,0.01,31.19
2009-09-13,17.86,69.07,0.01,32.0
2009-09-20,20.89,54.49,5.63,40.12
2009-09-27,31.15,66.19,10.17,33.0
2009-10-04,26.68,90.0,0.01,35.0
2009-10-11,31.92,105.99,9.99,25.41
2009-10-18,0.01,88.47,0.01,33.14
2009-10-25,32.96,100.98,9.56,33.0
2009-11-01,23.78,91.91,7.9,37.32
2009-11-08,10.18,89.93,6.29,33.09
2009-11-15,26.31,75.99,6.47,35.74
2009-11-22,27.59,67.04,7.88,36.24
2009-11-29,19.96,68.03,0.01,42.19
2009-12-06,23.61,78.02,10.18,28.0
2009-12-13,21.01,65.15,10.34,36.5
2009-12-20,31.85,143.25,11.36,57.5
2009-12-27,31.0,63.28,0.01,32.0
2010-01-03,19.04,56.18,8.36,31.0
